experiment,accuracy,precision,recall,f1_score
resnet18_freeze,0.4230769230769231,0.469047619047619,0.4766666666666667,0.4610644257703081
resnet18_finetune,1.0,1.0,1.0,1.0
mobilenet_freeze,0.8076923076923077,0.8742857142857142,0.7933333333333332,0.8072727272727273
mobilenet_finetune,1.0,1.0,1.0,1.0
